Date,ConfirmedCovidCases,Max Daily Temp
2020/10/08 00:00:00+00,506,13.4
2020/10/09 00:00:00+00,617,11.6
2020/10/10 00:00:00+00,1012,13.4
2020/10/11 00:00:00+00,814,12.4
2020/10/12 00:00:00+00,825,13.3
2020/10/13 00:00:00+00,811,11.8
2020/10/14 00:00:00+00,1095,13.6
2020/10/15 00:00:00+00,1205,12.7
2020/10/16 00:00:00+00,1000,12
2020/10/17 00:00:00+00,1276,12.2
2020/10/18 00:00:00+00,1283,13
2020/10/19 00:00:00+00,1031,12.7
2020/10/20 00:00:00+00,1269,14.7
2020/10/21 00:00:00+00,1167,14.3
2020/10/22 00:00:00+00,1066,10.7
2020/10/23 00:00:00+00,777,11.7
2020/10/24 00:00:00+00,859,13
2020/10/25 00:00:00+00,1025,11.5
2020/10/26 00:00:00+00,939,12
2020/10/27 00:00:00+00,720,11.9
2020/10/28 00:00:00+00,675,10
2020/10/29 00:00:00+00,866,15.2
2020/10/30 00:00:00+00,772,15.1
2020/10/31 00:00:00+00,416,15.2
2020/11/01 00:00:00+00,552,16
2020/11/02 00:00:00+00,767,9.8
2020/11/03 00:00:00+00,322,9.1
2020/11/04 00:00:00+00,444,9.8
2020/11/05 00:00:00+00,591,9.1
2020/11/06 00:00:00+00,499,11.1
2020/11/07 00:00:00+00,335,11.5
2020/11/08 00:00:00+00,542,14.3
2020/11/09 00:00:00+00,270,13.6
2020/11/10 00:00:00+00,270,12.2
2020/11/11 00:00:00+00,362,13.6
2020/11/12 00:00:00+00,395,12.3
2020/11/13 00:00:00+00,482,9.9
2020/11/14 00:00:00+00,456,13.6
2020/11/15 00:00:00+00,378,11.3
2020/11/16 00:00:00+00,456,13.7
2020/11/17 00:00:00+00,366,15.5
2020/11/18 00:00:00+00,379,14.4
2020/11/19 00:00:00+00,429,8
2020/11/20 00:00:00+00,330,12.4
2020/11/21 00:00:00+00,344,11.1
2020/11/22 00:00:00+00,318,8.3
2020/11/23 00:00:00+00,252,12
2020/11/24 00:00:00+00,226,13.1
2020/11/25 00:00:00+00,269,7.6
2020/11/26 00:00:00+00,335,7.5
2020/11/27 00:00:00+00,206,7.9
2020/11/28 00:00:00+00,243,10.2
2020/11/29 00:00:00+00,299,10.8
2020/11/30 00:00:00+00,306,10.2
2020/12/01 00:00:00+00,269,8.9
2020/12/02 00:00:00+00,270,8.7
2020/12/03 00:00:00+00,183,5.4
2020/12/04 00:00:00+00,265,7.3
2020/12/05 00:00:00+00,456,7.5
2020/12/06 00:00:00+00,301,0.3
2020/12/07 00:00:00+00,242,5.9
2020/12/08 00:00:00+00,215,6.6
2020/12/09 00:00:00+00,227,8.1
2020/12/10 00:00:00+00,310,9.4
2020/12/11 00:00:00+00,313,9.5
2020/12/12 00:00:00+00,248,6.8
2020/12/13 00:00:00+00,429,12.5
2020/12/14 00:00:00+00,264,10.2
2020/12/15 00:00:00+00,329,9.3
2020/12/16 00:00:00+00,431,9.9
2020/12/17 00:00:00+00,484,12.4
2020/12/18 00:00:00+00,582,14.2
2020/12/19 00:00:00+00,527,9.9
2020/12/20 00:00:00+00,764,7.3
2020/12/21 00:00:00+00,727,9.1
2020/12/22 00:00:00+00,970,6
2020/12/23 00:00:00+00,938,6.1
2020/12/24 00:00:00+00,922,4.7
2020/12/25 00:00:00+00,1025,7
2020/12/26 00:00:00+00,1296,8.4
2020/12/27 00:00:00+00,744,6.2
2020/12/28 00:00:00+00,765,4.8
2020/12/29 00:00:00+00,1546,5.1
2020/12/30 00:00:00+00,1718,2.8
2020/12/31 00:00:00+00,1620,4.7
2021/01/01 00:00:00+00,1754,5
2021/01/02 00:00:00+00,3394,3.5
2021/01/03 00:00:00+00,4962,3.9
2021/01/04 00:00:00+00,6110,5.3
2021/01/05 00:00:00+00,5325,5.2
2021/01/06 00:00:00+00,7836,2.7
2021/01/07 00:00:00+00,6521,1.5
2021/01/08 00:00:00+00,8248,1.9
2021/01/09 00:00:00+00,4842,2.4
2021/01/10 00:00:00+00,6888,5.5
2021/01/11 00:00:00+00,4929,9.4
2021/01/12 00:00:00+00,3086,9.3
2021/01/13 00:00:00+00,3569,11.1
2021/01/14 00:00:00+00,3955,10.1
2021/01/15 00:00:00+00,3498,9.3
2021/01/16 00:00:00+00,3231,10.6
2021/01/17 00:00:00+00,2944,6.2
2021/01/18 00:00:00+00,2121,9
2021/01/19 00:00:00+00,2001,11.1
2021/01/20 00:00:00+00,2488,10.4
2021/01/21 00:00:00+00,2608,5.6
2021/01/22 00:00:00+00,2371,4.3
2021/01/23 00:00:00+00,1910,3.5
2021/01/24 00:00:00+00,1378,1.8
2021/01/25 00:00:00+00,1372,4
2021/01/26 00:00:00+00,928,10
2021/01/27 00:00:00+00,1335,10.7
2021/01/28 00:00:00+00,1466,11.9
2021/01/29 00:00:00+00,1254,9.6
2021/01/30 00:00:00+00,1414,6
2021/01/31 00:00:00+00,1247,3.9
